code,date,value,uname,tcode
PNADCA_GINIUF,2024-01-01,0.506,Brasil,0
PNADCA_GINIUF,2024-01-01,0.489,Regiões,1
PNADCA_GINIUF,2024-01-01,0.502,Regiões,2
PNADCA_GINIUF,2024-01-01,0.491,Regiões,3
PNADCA_GINIUF,2024-01-01,0.46,Regiões,4
PNADCA_GINIUF,2024-01-01,0.487,Regiões,5
PNADCA_GINIUF,2024-01-01,0.443,Estados,11
PNADCA_GINIUF,2024-01-01,0.504,Estados,12
PNADCA_GINIUF,2024-01-01,0.474,Estados,13
PNADCA_GINIUF,2024-01-01,0.53,Estados,14
PNADCA_GINIUF,2024-01-01,0.492,Estados,15
PNADCA_GINIUF,2024-01-01,0.509,Estados,16
PNADCA_GINIUF,2024-01-01,0.477,Estados,17
PNADCA_GINIUF,2024-01-01,0.487,Estados,21
PNADCA_GINIUF,2024-01-01,0.493,Estados,22
PNADCA_GINIUF,2024-01-01,0.489,Estados,23
PNADCA_GINIUF,2024-01-01,0.525,Estados,24
PNADCA_GINIUF,2024-01-01,0.495,Estados,25
PNADCA_GINIUF,2024-01-01,0.532,Estados,26
PNADCA_GINIUF,2024-01-01,0.518,Estados,27
PNADCA_GINIUF,2024-01-01,0.5,Estados,28
PNADCA_GINIUF,2024-01-01,0.481,Estados,29
PNADCA_GINIUF,2024-01-01,0.449,Estados,31
PNADCA_GINIUF,2024-01-01,0.483,Estados,32
PNADCA_GINIUF,2024-01-01,0.523,Estados,33
PNADCA_GINIUF,2024-01-01,0.491,Estados,35
PNADCA_GINIUF,2024-01-01,0.477,Estados,41
PNADCA_GINIUF,2024-01-01,0.431,Estados,42
PNADCA_GINIUF,2024-01-01,0.46,Estados,43
PNADCA_GINIUF,2024-01-01,0.455,Estados,50
PNADCA_GINIUF,2024-01-01,0.442,Estados,51
PNADCA_GINIUF,2024-01-01,0.463,Estados,52
PNADCA_GINIUF,2024-01-01,0.547,Estados,53
