code,date,value,uname,tcode
IDHM,2021-01-01,0.742,NA,0
IDHM,2021-01-01,0.766,Brasil,0
IDHM,2021-01-01,0.7,Estados,11
IDHM,2021-01-01,0.71,Estados,12
IDHM,2021-01-01,0.7,Estados,13
IDHM,2021-01-01,0.699,Estados,14
IDHM,2021-01-01,0.69,Estados,15
IDHM,2021-01-01,0.688,Estados,16
IDHM,2021-01-01,0.731,Estados,17
IDHM,2021-01-01,0.676,Estados,21
IDHM,2021-01-01,0.69,Estados,22
IDHM,2021-01-01,0.734,Estados,23
IDHM,2021-01-01,0.728,Estados,24
IDHM,2021-01-01,0.698,Estados,25
IDHM,2021-01-01,0.719,Estados,26
IDHM,2021-01-01,0.684,Estados,27
IDHM,2021-01-01,0.702,Estados,28
IDHM,2021-01-01,0.691,Estados,29
IDHM,2021-01-01,0.774,Estados,31
IDHM,2021-01-01,0.771,Estados,32
IDHM,2021-01-01,0.762,Estados,33
IDHM,2021-01-01,0.806,Estados,35
IDHM,2021-01-01,0.769,Estados,41
IDHM,2021-01-01,0.792,Estados,42
IDHM,2021-01-01,0.771,Estados,43
IDHM,2021-01-01,0.742,Estados,50
IDHM,2021-01-01,0.736,Estados,51
IDHM,2021-01-01,0.737,Estados,52
IDHM,2021-01-01,0.814,Estados,53
