code,date,value,uname,tcode
AVS_IVS,2022-01-01,0.213,Brasil,0
AVS_IVS,2022-01-01,0.26,Regiões,1
AVS_IVS,2022-01-01,0.27,Regiões,2
AVS_IVS,2022-01-01,0.204,Regiões,3
AVS_IVS,2022-01-01,0.165,Regiões,4
AVS_IVS,2022-01-01,0.213,Regiões,5
AVS_IVS,2022-01-01,0.167,Estados,11
AVS_IVS,2022-01-01,0.332,Estados,12
AVS_IVS,2022-01-01,0.288,Estados,13
AVS_IVS,2022-01-01,0.225,Estados,14
AVS_IVS,2022-01-01,0.269,Estados,15
AVS_IVS,2022-01-01,0.204,Estados,16
AVS_IVS,2022-01-01,0.201,Estados,17
AVS_IVS,2022-01-01,0.289,Estados,21
AVS_IVS,2022-01-01,0.263,Estados,22
AVS_IVS,2022-01-01,0.238,Estados,23
AVS_IVS,2022-01-01,0.252,Estados,24
AVS_IVS,2022-01-01,0.296,Estados,25
AVS_IVS,2022-01-01,0.3,Estados,26
AVS_IVS,2022-01-01,0.283,Estados,27
AVS_IVS,2022-01-01,0.28,Estados,28
AVS_IVS,2022-01-01,0.258,Estados,29
AVS_IVS,2022-01-01,0.173,Estados,31
AVS_IVS,2022-01-01,0.189,Estados,32
AVS_IVS,2022-01-01,0.262,Estados,33
AVS_IVS,2022-01-01,0.209,Estados,35
AVS_IVS,2022-01-01,0.164,Estados,41
AVS_IVS,2022-01-01,0.113,Estados,42
AVS_IVS,2022-01-01,0.191,Estados,43
AVS_IVS,2022-01-01,0.166,Estados,50
AVS_IVS,2022-01-01,0.197,Estados,51
AVS_IVS,2022-01-01,0.217,Estados,52
AVS_IVS,2022-01-01,0.236,Estados,53
